reproduccion_id,usuario_id,contenido_id,dispositivo_id,fecha_hora_inicio,tipo_dispositivo,calidad_video,minutos_reproducidos,porcentaje_completado,abandono_temprano,buffering_segundos
R005996,U00638,C0126,D01057,2025-07-30 22:44:58,Móvil,HD,69.4,52.6,No,11.5
R005997,U01097,C0140,D01824,2025-12-18 22:46:26,Móvil,Full HD,75.9,75.9,No,10.4
R005998,U00558,C0410,D00930,2025-06-23 16:04:30,Tablet,HD,38.2,39.0,No,30.0
R005999,U00310,C0306,D00527,2025-06-07 16:26:16,Computador,Full HD,66.3,51.0,No,17.3
R006000,U00861,C0268,D01409,2025-10-22 06:37:55,Móvil,HD,27.7,79.1,No,7.6
R006001,U01300,C0248,D02161,2025-02-15 04:12:26,Smart TV,HD,23.4,73.0,No,5.9
R006002,U00359,C0191,D00600,2025-07-06 16:08:43,Computador,4K,32.8,63.1,No,1.4
R006003,U00228,C0106,D00376,2025-05-13 14:13:13,Tablet,HD,78.0,100,No,11.3
R006004,U00470,C0177,D00775,2025-10-22 23:54:19,Móvil,Full HD,28.3,88.3,No,5.7
R006005,U00998,C0326,D01657,2025-10-11 09:21:19,Smart TV,Full HD,41.2,98.0,No,3.9
R006006,U00468,C0179,D00772,2025-12-18 04:57:11,Móvil,Full HD,55.8,45.7,No,7.0
R006007,U00880,C0138,D01447,2025-03-08 13:31:02,Computador,4K,23.3,75.3,No,6.8
R006008,U00481,C0161,D00796,2025-07-25 10:55:03,Móvil,SD,45.6,57.7,No,8.3
R006009,U01248,C0310,D02079,2025-12-21 18:57:28,Tablet,HD,20.3,61.6,No,3.3
R006010,U00732,C0132,D01198,2025-05-12 23:56:41,Consola,SD,46.0,86.7,No,6.1
R006011,U00411,C0295,D00681,2025-06-14 20:33:54,Móvil,4K,28.3,85.9,No,12.5
R006012,U00838,C0356,D01372,2025-07-21 21:40:26,Smart TV,Full HD,32.7,90.8,No,6.3
R006013,U00133,C0080,D00221,2025-07-02 19:42:54,Smart TV,4K,59.5,54.6,No,6.6
R006014,U01388,C0192,D02309,2025-03-16 17:52:27,Móvil,Full HD,54.3,95.3,No,16.2
R006015,U00998,C0195,D01657,2025-01-03 19:36:27,Smart TV,Full HD,37.6,78.3,No,13.5
R006016,U00218,C0018,D00362,2025-01-15 20:00:00,Computador,4K,25.7,48.5,No,4.0
R006017,U01342,C0091,D02232,2025-04-03 21:21:39,Computador,Full HD,59.0,64.1,No,6.3
R006018,U01005,C0282,D01671,2025-05-03 18:26:08,Computador,Full HD,44.0,71.0,No,8.1
R006019,U00949,C0069,D01570,2025-11-16 22:06:38,Computador,Full HD,84.0,71.2,No,4.5
R006020,U01282,C0359,D02130,2025-12-26 18:38:32,Móvil,4K,90.3,59.4,No,3.8
R006021,U00790,C0185,D01297,2025-08-27 20:02:00,Consola,Full HD,35.0,100,No,0
R006022,U00107,C0414,D00176,2025-11-12 20:15:34,Móvil,HD,27.7,69.3,No,24.0
R006023,U00141,C0238,D00235,2025-07-31 16:34:09,Móvil,Full HD,48.0,100,No,1.6
R006024,U00247,C0134,D00413,2025-01-20 21:39:18,Computador,HD,62.0,66.7,No,0
R006025,U00757,C0243,D01238,2025-11-12 20:05:23,Computador,Full HD,95.8,73.1,No,4.8
R006026,U00165,C0261,D00276,2025-03-25 19:12:25,Computador,SD,77.5,61.0,No,0
R006027,U00835,C0329,D01367,2025-12-07 07:42:24,Smart TV,Full HD,16.1,55.5,No,6.4
R006028,U00476,C0086,D00788,2025-04-25 21:11:01,Tablet,Full HD,31.9,67.9,No,30.5
R006029,U00992,C0113,D01646,2025-02-28 16:07:34,Móvil,Full HD,41.7,71.9,No,7.5
R006030,U01326,C0298,D02202,2025-06-08 12:43:36,Móvil,Full HD,62.8,64.1,No,11.9
R006031,U00867,C0002,D01421,2025-10-26 23:13:51,Smart TV,Full HD,83.4,63.7,No,9.9
R006032,U00067,C0062,D00108,2025-03-07 16:55:20,Smart TV,4K,19.6,56.0,No,7.2
R006033,U01442,C0394,D02394,2025-02-11 23:29:35,Computador,Full HD,35.0,67.4,No,7.5
R006034,U00163,C0375,D00274,2025-12-03 18:06:39,Computador,HD,142.6,92.6,No,2.7
R006035,U00436,C0287,D00722,2025-12-09 09:07:58,Móvil,Full HD,47.4,55.8,No,6.4
R006036,U00722,C0306,D01179,2025-09-27 15:40:34,Tablet,Full HD,87.0,66.9,No,13.4
R006037,U01269,C0146,D02110,2025-11-10 19:15:24,Smart TV,Full HD,21.0,38.9,No,5.2
R006038,U00953,C0394,D01576,2025-04-30 22:34:51,Computador,4K,38.2,73.4,No,12.1
R006039,U00801,C0415,D01315,2025-05-11 22:27:12,Smart TV,SD,115.1,85.9,No,17.9
R006040,U00914,C0139,D01506,2025-10-10 18:42:06,Computador,Full HD,56.2,63.9,No,10.4
R006041,U00744,C0329,D01218,2025-03-10 11:15:23,Computador,4K,16.3,56.2,No,8.6
R006042,U00549,C0155,D00913,2025-01-02 17:03:54,Smart TV,HD,103.6,74.5,No,7.6
R006043,U00241,C0290,D00400,2025-12-02 19:06:50,Smart TV,HD,30.9,96.5,No,3.5
R006044,U01144,C0089,D01903,2025-08-25 17:17:04,Computador,HD,102.4,77.0,No,4.5
R006045,U00475,C0168,D00786,2025-05-13 12:33:31,Computador,4K,58.2,44.4,No,11.2
R006046,U01061,C0244,D01766,2025-03-16 16:01:33,Tablet,Full HD,35.4,72.3,No,10.9
R006047,U00797,C0082,D01309,2025-01-02 12:13:14,Móvil,Full HD,53.0,51.5,No,6.5
R006048,U00079,C0030,D00129,2025-09-25 22:43:45,Computador,Full HD,32.8,84.0,No,1.1
R006049,U01038,C0043,D01723,2025-08-17 19:36:02,Móvil,HD,72.7,62.1,No,7.9
R006050,U00617,C0109,D01025,2025-02-03 16:59:25,Smart TV,Full HD,21.1,62.2,No,0
R006051,U00360,C0016,D00602,2025-09-12 18:36:10,Móvil,Full HD,50.4,86.9,No,5.4
R006052,U00321,C0164,D00545,2025-04-04 14:24:34,Smart TV,HD,84.0,85.7,No,10.2
R006053,U01091,C0358,D01812,2025-10-05 19:22:38,Computador,HD,101.4,68.5,No,7.8
R006054,U00135,C0375,D00225,2025-05-14 21:41:28,Móvil,Full HD,34.3,22.3,No,10.8
R006055,U00608,C0402,D01010,2025-09-04 19:35:10,Computador,Full HD,29.8,63.5,No,10.7
R006056,U00023,C0025,D00038,2025-04-18 18:59:31,Smart TV,SD,53.8,97.8,No,3.9
R006057,U00623,C0057,D01033,2025-06-13 20:09:37,Computador,HD,24.2,83.6,No,4.5
R006058,U00942,C0049,D01554,2025-11-10 17:26:13,Móvil,HD,29.3,58.6,No,8.3
R006059,U00052,C0333,D00085,2025-10-12 09:52:52,Móvil,HD,65.5,59.0,No,5.6
R006060,U00371,C0247,D00619,2025-12-16 12:48:48,Computador,Full HD,80.9,89.9,No,7.3
R006061,U00730,C0267,D01194,2025-06-04 14:58:39,Smart TV,SD,50.4,88.5,No,0.9
R006062,U00635,C0139,D01054,2025-09-18 20:26:35,Smart TV,HD,77.4,88.0,No,5.9
R006063,U00125,C0085,D00206,2025-08-11 19:12:47,Smart TV,Full HD,110.7,85.8,No,1.4
R006064,U00715,C0161,D01169,2025-02-01 20:15:40,Móvil,SD,71.9,91.0,No,7.6
R006065,U00506,C0384,D00840,2025-05-24 15:50:30,Smart TV,Full HD,39.5,79.0,No,5.8
R006066,U01335,C0051,D02218,2025-01-19 14:16:33,Smart TV,4K,107.4,84.6,No,11.5
R006067,U01495,C0138,D02481,2025-01-30 20:21:31,Móvil,HD,19.2,62.0,No,13.7
R006068,U00082,C0113,D00134,2025-09-14 21:27:51,Móvil,HD,33.8,58.2,No,9.6
R006069,U00247,C0194,D00413,2025-05-15 08:42:00,Computador,HD,49.0,100,No,0
R006070,U00208,C0311,D00345,2025-05-22 23:42:46,Smart TV,HD,77.0,70.0,No,9.8
R006071,U01130,C0002,D01879,2025-01-10 20:05:32,Smart TV,Full HD,98.4,75.1,No,0
R006072,U00276,C0085,D00462,2025-05-22 22:27:28,Móvil,HD,49.0,38.0,No,9.4
R006073,U01366,C0344,D02278,2025-09-15 21:53:14,Computador,4K,23.0,82.3,No,13.9
R006074,U00970,C0388,D01605,2025-07-05 20:04:07,Computador,4K,47.1,44.0,No,8.1
R006075,U00923,C0033,D01522,2025-02-17 17:46:16,Tablet,HD,52.9,57.5,No,11.2
R006076,U00217,C0330,D00361,2025-10-08 08:12:35,Móvil,HD,11.0,32.3,No,7.3
R006077,U01254,C0237,D02087,2025-08-09 19:59:33,Computador,Full HD,64.2,85.6,No,12.8
R006078,U00706,C0112,D01156,2025-10-26 12:06:07,Móvil,HD,25.3,60.2,No,6.3
R006079,U01240,C0303,D02067,2025-07-12 16:16:52,Móvil,Full HD,30.4,77.9,No,9.1
R006080,U01051,C0324,D01750,2025-12-19 21:37:34,Tablet,4K,71.4,68.7,No,16.9
R006081,U00524,C0062,D00868,2025-04-21 14:40:48,Computador,HD,23.6,67.5,No,3.6
R006082,U00775,C0304,D01273,2025-12-31 19:39:44,Consola,4K,27.1,79.6,No,5.9
R006083,U00485,C0013,D00801,2025-12-11 20:26:20,Móvil,Full HD,32.3,67.3,No,6.6
R006084,U00649,C0258,D01074,2025-12-03 21:06:09,Computador,Full HD,59.5,79.4,No,9.4
R006085,U01297,C0155,D02157,2025-11-21 11:58:16,Móvil,Full HD,99.8,71.8,No,7.3
R006086,U00739,C0106,D01211,2025-10-13 07:11:23,Móvil,Full HD,46.2,59.2,No,2.4
R006087,U01359,C0147,D02262,2025-04-15 13:42:25,Móvil,Full HD,30.4,30.7,No,8.3
R006088,U01305,C0333,D02171,2025-08-06 19:45:00,Tablet,HD,75.9,68.4,No,11.9
R006089,U01372,C0183,D02286,2025-02-06 11:34:13,Computador,HD,39.4,82.0,No,5.4
R006090,U00235,C0378,D00386,2025-12-03 03:11:30,Computador,HD,86.0,71.1,No,5.2
R006091,U00323,C0226,D00548,2025-10-30 14:53:55,Tablet,Full HD,67.8,75.3,No,7.4
R006092,U01412,C0197,D02346,2025-03-14 19:11:59,Smart TV,Full HD,36.0,100,No,0
R006093,U00019,C0323,D00030,2025-06-15 08:37:48,Consola,4K,40.4,74.9,No,4.4
R006094,U00900,C0251,D01481,2025-02-08 21:54:25,Consola,SD,58.0,100,No,7.1
R006095,U00273,C0247,D00457,2025-07-05 16:19:21,Computador,Full HD,90.0,100,No,2.4
R006096,U00021,C0240,D00034,2025-06-13 15:04:36,Computador,4K,61.6,55.0,No,6.6
R006097,U00146,C0142,D00241,2025-02-28 22:49:22,Móvil,Full HD,37.5,83.3,No,11.7
R006098,U01049,C0066,D01743,2025-11-10 19:52:51,Móvil,HD,60.6,70.5,No,22.6
R006099,U00163,C0019,D00274,2025-11-13 17:32:46,Computador,HD,63.6,62.4,No,5.3
R006100,U00269,C0194,D00450,2025-04-10 10:55:14,Computador,HD,29.2,59.6,No,6.5
R006101,U00963,C0001,D01594,2025-02-16 05:26:21,Tablet,HD,44.3,90.5,No,9.1
R006102,U00730,C0004,D01194,2025-05-09 12:42:32,Smart TV,HD,82.3,84.0,No,0.1
R006103,U01097,C0364,D01822,2025-10-14 21:31:08,Smart TV,Full HD,43.6,85.4,No,0
R006104,U00537,C0211,D00893,2025-03-02 15:07:22,Computador,HD,58.8,62.5,No,9.2
R006105,U00027,C0056,D00043,2025-07-25 14:57:50,Tablet,HD,39.3,71.5,No,12.9
R006106,U01141,C0303,D01897,2025-04-13 15:40:19,Smart TV,SD,39.0,100,No,0
R006107,U00618,C0161,D01027,2025-11-02 00:32:54,Móvil,Full HD,47.5,60.1,No,12.0
R006108,U01400,C0103,D02325,2025-07-03 21:31:08,Tablet,Full HD,53.9,57.3,No,12.4
R006109,U00041,C0101,D00068,2025-03-14 07:22:20,Tablet,Full HD,18.0,52.9,No,11.9
R006110,U00299,C0296,D00503,2025-12-27 17:11:40,Computador,4K,111.0,100,No,3.4
R006111,U00015,C0320,D00020,2025-03-31 20:18:46,Móvil,Full HD,22.2,61.8,No,11.9
R006112,U01000,C0411,D01662,2025-03-17 18:22:48,Smart TV,HD,58.5,69.6,No,0
R006113,U01173,C0364,D01951,2025-10-09 09:13:39,Smart TV,4K,47.3,92.7,No,7.5
R006114,U00752,C0048,D01231,2025-08-16 19:58:31,Smart TV,HD,28.8,68.6,No,0
R006115,U01081,C0223,D01797,2025-07-27 19:19:23,Móvil,4K,46.0,50.5,No,19.9
R006116,U01336,C0235,D02221,2025-03-25 00:01:54,Smart TV,HD,76.3,61.5,No,7.1
R006117,U00231,C0198,D00380,2025-07-28 16:38:00,Móvil,HD,130.9,86.7,No,11.7
R006118,U00301,C0032,D00506,2025-04-12 19:32:51,Computador,SD,49.6,40.0,No,0
R006119,U00001,C0293,D00001,2025-12-25 03:04:26,Móvil,4K,72.2,72.2,No,9.2
R006120,U01277,C0003,D02123,2025-06-18 19:34:37,Móvil,Full HD,48.6,39.5,No,16.5
R006121,U00623,C0380,D01034,2025-12-09 19:25:51,Smart TV,Full HD,41.8,45.4,No,4.1
R006122,U00020,C0210,D00032,2025-10-29 09:50:07,Móvil,Full HD,23.4,65.1,No,11.6
R006123,U00180,C0051,D00299,2025-11-02 18:40:14,Smart TV,Full HD,102.0,80.3,No,4.5
R006124,U00231,C0039,D00380,2025-05-31 18:12:07,Móvil,4K,94.0,62.7,No,4.5
R006125,U00444,C0212,D00734,2025-04-05 21:51:49,Computador,4K,52.0,100,No,0.9
R006126,U00757,C0380,D01239,2025-12-15 00:46:36,Móvil,SD,52.8,57.4,No,20.4
R006127,U01265,C0037,D02103,2025-02-15 11:29:13,Computador,HD,28.0,49.1,No,9.6
R006128,U00470,C0371,D00777,2025-10-03 22:08:00,Tablet,4K,44.6,64.6,No,7.8
R006129,U01222,C0062,D02036,2025-07-20 10:05:13,Computador,HD,26.0,74.2,No,8.1
R006130,U00012,C0402,D00016,2025-12-05 15:06:15,Móvil,4K,19.1,40.7,No,10.6
R006131,U01372,C0249,D02286,2025-01-07 18:11:30,Computador,Full HD,34.0,66.7,No,8.4
R006132,U00319,C0249,D00541,2025-04-09 10:05:54,Tablet,HD,51.0,100,No,1.2
R006133,U00392,C0130,D00649,2025-10-20 16:24:46,Tablet,SD,19.2,53.2,No,14.2
R006134,U01484,C0289,D02461,2025-11-19 00:47:30,Móvil,HD,20.6,73.5,No,9.8
R006135,U00805,C0021,D01324,2025-01-31 19:24:42,Tablet,HD,24.4,61.1,No,21.7
R006136,U00379,C0414,D00633,2025-10-03 21:13:30,Computador,Full HD,17.2,43.0,No,9.0
R006137,U01007,C0051,D01673,2025-03-03 21:05:36,Computador,4K,86.0,67.7,No,9.0
R006138,U00505,C0281,D00839,2025-01-23 13:41:26,Smart TV,HD,32.1,65.6,No,0
R006139,U01453,C0261,D02413,2025-02-21 19:31:46,Móvil,HD,79.2,62.4,No,1.1
R006140,U01429,C0185,D02374,2025-12-16 16:26:15,Computador,Full HD,29.3,83.8,No,13.3
R006141,U01231,C0333,D02052,2025-04-14 20:40:26,Computador,HD,90.9,81.9,No,6.4
R006142,U00661,C0359,D01092,2025-07-07 20:49:49,Móvil,HD,121.6,80.0,No,10.1
R006143,U00299,C0186,D00503,2025-10-19 21:58:48,Computador,Full HD,100.5,86.6,No,4.3
R006144,U00430,C0310,D00713,2025-05-24 15:09:03,Móvil,HD,21.1,63.9,No,15.0
R006145,U01388,C0036,D02309,2025-09-25 06:58:46,Móvil,SD,74.7,72.5,No,14.8
R006146,U00741,C0138,D01215,2025-01-08 04:08:18,Móvil,Full HD,26.4,85.2,No,9.8
R006147,U01258,C0190,D02092,2025-01-27 10:56:42,Móvil,SD,36.0,52.2,No,17.2
R006148,U00169,C0179,D00282,2025-07-23 21:50:37,Tablet,Full HD,39.8,32.6,No,11.7
R006149,U00648,C0119,D01072,2025-03-02 07:44:24,Smart TV,Full HD,23.2,68.3,No,0
R006150,U01077,C0011,D01791,2025-05-03 15:10:34,Smart TV,4K,82.2,68.5,No,2.5
R006151,U01070,C0367,D01779,2025-11-25 18:23:55,Computador,4K,24.3,69.5,No,10.7
R006152,U00047,C0021,D00075,2025-10-27 19:43:30,Móvil,4K,29.0,72.4,No,18.8
R006153,U01356,C0006,D02257,2025-11-25 12:41:07,Computador,SD,90.9,62.7,No,4.3
R006154,U01073,C0341,D01784,2025-02-08 20:53:27,Smart TV,4K,17.6,62.9,No,9.1
R006155,U00310,C0312,D00527,2025-04-13 00:45:45,Computador,4K,95.9,77.3,No,4.3
R006156,U01050,C0025,D01747,2025-12-22 19:48:05,Tablet,HD,32.2,58.5,No,27.9
R006157,U01497,C0249,D02484,2025-10-06 23:51:55,Consola,HD,40.6,79.7,No,0
R006158,U01053,C0300,D01752,2025-09-30 23:36:31,Smart TV,Full HD,50.5,90.2,No,0
R006159,U00459,C0064,D00759,2025-08-19 07:29:54,Consola,HD,64.5,49.6,No,15.3
R006160,U01124,C0143,D01871,2025-09-14 18:36:27,Móvil,HD,79.4,51.2,No,22.6
R006161,U00912,C0145,D01500,2025-02-13 20:20:35,Consola,HD,42.3,90.0,No,6.4
R006162,U00713,C0103,D01167,2025-02-03 14:22:01,Consola,SD,43.8,46.6,No,3.2
R006163,U01158,C0217,D01925,2025-07-05 20:58:31,Computador,Full HD,108.0,100,No,4.5
R006164,U00932,C0316,D01537,2025-08-18 10:19:07,Smart TV,Full HD,27.7,86.5,No,1.7
R006165,U00652,C0419,D01078,2025-03-13 13:28:48,Computador,Full HD,30.1,83.6,No,4.3
R006166,U00053,C0111,D00086,2025-01-16 20:38:52,Smart TV,HD,53.0,60.9,No,3.0
R006167,U01338,C0137,D02226,2025-09-04 11:53:10,Móvil,Full HD,46.4,60.2,No,15.6
R006168,U00511,C0150,D00848,2025-01-09 20:53:39,Smart TV,Full HD,25.2,74.0,No,6.6
R006169,U01261,C0085,D02097,2025-01-23 17:31:12,Computador,Full HD,37.7,29.2,No,4.9
R006170,U00226,C0079,D00372,2025-05-23 22:18:01,Computador,Full HD,77.4,78.2,No,10.9
R006171,U01234,C0168,D02057,2025-11-24 17:19:00,Móvil,HD,72.3,55.2,No,21.2
R006172,U01023,C0257,D01699,2025-12-22 22:06:31,Móvil,Full HD,63.5,77.5,No,23.3
R006173,U01315,C0121,D02186,2025-05-12 21:18:40,Smart TV,Full HD,46.1,88.7,No,2.2
R006174,U01156,C0352,D01922,2025-01-01 23:58:37,Móvil,SD,37.5,54.3,No,7.0
R006175,U01027,C0402,D01706,2025-10-31 09:19:03,Smart TV,Full HD,38.6,82.1,No,8.0
R006176,U00463,C0111,D00765,2025-03-10 21:22:28,Smart TV,Full HD,57.0,65.5,No,4.8
R006177,U01280,C0139,D02127,2025-04-06 20:01:18,Móvil,SD,88.0,100,No,13.2
R006178,U00959,C0098,D01586,2025-11-12 01:38:05,Tablet,HD,24.4,81.3,No,12.1
R006179,U00429,C0243,D00711,2025-09-01 21:26:17,Móvil,Full HD,47.7,36.4,No,3.0
R006180,U01412,C0234,D02346,2025-10-09 20:52:18,Smart TV,Full HD,9.0,16.3,Sí,4.1
R006181,U00128,C0394,D00212,2025-03-16 10:51:10,Computador,Full HD,24.4,46.9,No,6.3
R006182,U00322,C0337,D00546,2025-12-28 13:27:31,Móvil,Full HD,57.3,67.4,No,10.8
R006183,U00443,C0053,D00733,2025-12-13 14:23:59,Computador,Full HD,129.0,100,No,4.5
R006184,U01058,C0355,D01762,2025-03-17 19:49:21,Móvil,SD,91.9,67.1,No,3.8
R006185,U01117,C0361,D01859,2025-02-07 20:55:48,Smart TV,4K,81.4,67.8,No,13.5
R006186,U00521,C0214,D00862,2025-10-27 22:08:49,Computador,4K,27.1,79.7,No,9.8
R006187,U00111,C0129,D00181,2025-10-14 16:23:15,Tablet,HD,50.9,59.2,No,9.0
R006188,U00949,C0100,D01569,2025-12-30 18:00:13,Tablet,HD,64.6,62.1,No,14.1
R006189,U01244,C0166,D02073,2025-08-03 11:39:31,Computador,Full HD,61.5,75.0,No,4.1
R006190,U00442,C0092,D00732,2025-10-27 22:13:43,Smart TV,SD,42.8,79.3,No,3.6
R006191,U00083,C0329,D00135,2025-09-28 11:58:02,Móvil,HD,13.8,47.5,No,7.9
R006192,U00081,C0405,D00132,2025-05-22 18:44:58,Computador,SD,33.0,99.9,No,0
R006193,U00061,C0400,D00099,2025-04-18 03:18:08,Computador,Full HD,29.9,66.4,No,10.2
R006194,U00444,C0269,D00734,2025-10-21 20:01:51,Computador,SD,68.0,100,No,9.9
R006195,U00797,C0296,D01309,2025-01-18 13:50:18,Móvil,HD,68.4,61.6,No,1.3
R006196,U00523,C0139,D00866,2025-11-07 18:26:35,Computador,4K,62.1,70.6,No,6.9
R006197,U00657,C0055,D01087,2025-10-30 08:17:30,Smart TV,4K,31.6,79.1,No,9.7
R006198,U01057,C0023,D01761,2025-04-13 20:57:49,Smart TV,SD,27.5,57.3,No,5.7
R006199,U01121,C0330,D01866,2025-05-16 12:41:56,Smart TV,Full HD,29.9,88.0,No,12.7
R006200,U01100,C0150,D01827,2025-05-21 19:40:37,Smart TV,HD,28.3,83.2,No,4.3
R006201,U01091,C0038,D01811,2025-02-04 21:03:35,Smart TV,HD,58.9,41.2,No,2.8
R006202,U00525,C0237,D00870,2025-07-17 20:08:57,Computador,Full HD,17.8,23.7,No,12.9
R006203,U01466,C0305,D02435,2025-09-23 18:06:17,Smart TV,HD,65.5,56.5,No,14.5
R006204,U00107,C0325,D00176,2025-10-17 22:32:18,Móvil,Full HD,87.6,84.2,No,9.6
R006205,U01380,C0194,D02297,2025-07-06 23:36:17,Tablet,HD,41.6,84.8,No,7.2
R006206,U00168,C0091,D00281,2025-10-16 14:31:51,Computador,Full HD,64.3,69.9,No,4.4
R006207,U01239,C0253,D02064,2025-10-29 20:47:28,Smart TV,Full HD,33.7,78.4,No,10.0
R006208,U01033,C0116,D01716,2025-09-25 20:25:20,Smart TV,Full HD,40.8,90.7,No,2.5
R006209,U00163,C0117,D00274,2025-12-20 07:17:29,Computador,HD,115.0,100,No,0
R006210,U01118,C0360,D01861,2025-09-24 19:31:25,Consola,SD,26.4,69.6,No,5.2
R006211,U01205,C0406,D02005,2025-11-09 17:07:35,Móvil,Full HD,86.0,69.9,No,8.7
R006212,U00693,C0096,D01137,2025-09-28 13:09:46,Computador,HD,91.7,61.1,No,8.0
R006213,U00472,C0371,D00780,2025-03-31 18:13:08,Computador,4K,53.6,77.7,No,14.9
R006214,U00609,C0246,D01011,2025-08-19 22:16:02,Smart TV,Full HD,86.5,64.1,No,2.5
R006215,U00474,C0120,D00783,2025-04-23 14:23:53,Computador,HD,72.6,71.9,No,4.6
R006216,U00362,C0281,D00605,2025-08-27 15:42:58,Móvil,Full HD,23.1,47.2,No,9.9
R006217,U00206,C0253,D00342,2025-02-20 18:50:32,Smart TV,4K,25.5,59.4,No,3.7
R006218,U00729,C0392,D01191,2025-04-10 19:07:01,Móvil,Full HD,37.0,100,No,1.6
R006219,U00917,C0036,D01512,2025-05-01 17:11:40,Computador,4K,51.5,50.0,No,5.7
R006220,U00048,C0178,D00077,2025-09-25 22:34:23,Móvil,SD,52.5,54.7,No,16.1
R006221,U00678,C0246,D01117,2025-04-12 21:17:43,Móvil,Full HD,124.7,92.4,No,6.5
R006222,U01388,C0027,D02309,2025-08-26 15:37:23,Móvil,HD,40.0,100,No,8.5
R006223,U01477,C0340,D02451,2025-01-12 19:12:48,Móvil,SD,43.2,64.5,No,8.2
R006224,U01251,C0333,D02083,2025-08-03 23:05:44,Smart TV,HD,79.6,71.7,No,6.3
R006225,U01114,C0157,D01853,2025-02-08 13:14:39,Móvil,Full HD,35.2,67.6,No,15.7
R006226,U00642,C0034,D01063,2025-10-19 13:31:32,Smart TV,HD,22.7,78.3,No,6.5
R006227,U00878,C0285,D01441,2025-07-04 04:56:55,Móvil,HD,21.3,39.5,No,11.4
R006228,U01082,C0218,D01798,2025-10-14 22:18:10,Computador,SD,55.9,93.1,No,7.8
R006229,U00884,C0334,D01454,2025-09-24 20:28:36,Móvil,HD,64.1,43.0,No,21.8
R006230,U00606,C0348,D01006,2025-11-19 23:36:12,Computador,HD,84.0,100,No,5.9
R006231,U00686,C0034,D01127,2025-09-29 10:53:31,Móvil,4K,15.9,54.8,No,25.2
R006232,U00454,C0285,D00750,2025-04-12 11:35:04,Móvil,4K,44.5,82.5,No,15.3
R006233,U01136,C0247,D01890,2025-01-27 02:16:04,Computador,4K,90.0,100,No,1.2
R006234,U00771,C0345,D01266,2025-08-03 22:52:23,Computador,HD,80.2,64.2,No,1.4
R006235,U01125,C0188,D01872,2025-02-06 13:26:19,Tablet,Full HD,29.0,87.9,No,7.5
R006236,U00043,C0035,D00070,2025-05-18 11:26:40,Smart TV,Full HD,25.0,83.3,No,3.4
R006237,U00145,C0150,D00240,2025-08-05 06:54:50,Computador,HD,24.1,70.9,No,7.4
R006238,U00684,C0107,D01124,2025-09-23 19:01:59,Tablet,Full HD,35.7,71.4,No,10.2
R006239,U00837,C0377,D01370,2025-05-19 17:10:38,Móvil,Full HD,55.3,53.7,No,9.7
R006240,U00915,C0167,D01507,2025-06-29 18:54:26,Móvil,HD,40.1,75.6,No,6.4
R006241,U01499,C0308,D02490,2025-02-25 11:39:11,Computador,Full HD,22.4,74.7,No,7.7
R006242,U00674,C0205,D01111,2025-11-20 10:15:37,Móvil,HD,78.7,65.6,No,8.3
R006243,U00232,C0188,D00382,2025-11-14 17:14:00,Smart TV,SD,28.7,86.9,No,3.9
R006244,U00484,C0079,D00800,2025-08-14 14:45:06,Smart TV,4K,67.3,68.0,No,0.0
R006245,U01493,C0407,D02477,2025-01-13 17:11:28,Smart TV,Full HD,60.7,58.4,No,7.7
R006246,U00019,C0239,D00031,2025-11-14 20:17:46,Tablet,Full HD,39.1,75.1,No,10.7
R006247,U01199,C0277,D01996,2025-09-17 15:32:06,Móvil,HD,77.2,51.5,No,21.7
R006248,U01308,C0057,D02175,2025-10-30 21:11:36,Tablet,Full HD,20.2,69.8,No,16.7
R006249,U00230,C0013,D00379,2025-07-19 10:19:41,Computador,HD,47.6,99.1,No,4.3
R006250,U00704,C0318,D01154,2025-11-08 12:04:24,Móvil,HD,45.9,79.2,No,26.0
R006251,U00393,C0286,D00651,2025-04-25 23:30:31,Móvil,HD,27.5,47.4,No,3.6
R006252,U00803,C0097,D01319,2025-08-28 13:14:54,Móvil,Full HD,24.1,63.4,No,11.5
R006253,U01106,C0225,D01838,2025-02-25 22:34:54,Computador,SD,88.8,68.8,No,4.4
R006254,U01370,C0289,D02284,2025-11-25 19:38:45,Computador,SD,24.0,85.8,No,8.9
R006255,U01482,C0013,D02458,2025-07-27 20:41:43,Computador,Full HD,39.9,83.1,No,7.2
R006256,U00971,C0376,D01608,2025-08-02 18:36:22,Tablet,Full HD,15.9,46.9,No,6.8
R006257,U01446,C0366,D02402,2025-08-16 12:42:01,Tablet,4K,19.8,58.2,No,23.8
R006258,U01497,C0320,D02484,2025-12-02 12:25:09,Consola,HD,34.5,95.7,No,7.6
R006259,U01147,C0070,D01907,2025-10-28 18:25:32,Tablet,Full HD,92.1,63.1,No,2.1
R006260,U00020,C0418,D00032,2025-11-10 09:33:30,Móvil,SD,32.6,72.5,No,4.3
R006261,U00209,C0420,D00347,2025-10-22 20:19:08,Smart TV,4K,31.1,53.6,No,6.8
R006262,U00916,C0045,D01510,2025-08-05 17:28:00,Computador,Full HD,39.8,41.0,No,2.4
R006263,U00575,C0042,D00953,2025-01-09 11:55:20,Smart TV,4K,30.6,67.9,No,3.6
R006264,U00741,C0008,D01215,2025-02-10 20:34:13,Móvil,Full HD,82.8,90.0,No,5.6
R006265,U00352,C0284,D00591,2025-07-15 12:12:17,Computador,Full HD,96.7,67.6,No,5.9
