calificacion_id,usuario_id,contenido_id,fecha_calificacion,puntuacion_1_5,recomendaria,categoria_comentario
K00756,U00774,C0272,2025-01-31 03:37:37,3,No,Experiencia general
K00757,U00774,C0330,2025-03-27 21:15:05,4,Sí,Experiencia general
K00758,U00408,C0385,2025-03-25 12:44:39,4,Sí,Contenido
K00759,U00408,C0116,2025-07-29 17:43:48,3,No,Experiencia general
K00760,U00202,C0224,2025-01-17 16:23:11,4,Sí,Historia
K00761,U00202,C0013,2025-03-01 07:56:15,3,No,Experiencia general
K00762,U00202,C0311,2025-01-10 15:41:16,4,Sí,Contenido
K00763,U00166,C0106,2025-01-07 19:57:20,4,Sí,Calidad técnica
K00764,U00166,C0088,2025-01-23 13:15:12,3,No,Experiencia general
K00765,U00290,C0023,2025-10-27 10:59:24,3,No,Contenido
K00766,U00290,C0096,2025-09-26 16:27:48,4,Sí,Contenido
K00767,U00290,C0247,2025-03-08 16:21:10,4,Sí,Experiencia general
K00768,U00290,C0226,2025-08-28 10:25:21,4,Sí,Experiencia general
K00769,U01329,C0316,2025-07-15 20:27:11,3,No,Contenido
K00770,U01329,C0345,2025-04-28 17:24:41,4,Sí,Contenido
K00771,U01329,C0158,2025-07-19 22:33:40,5,Sí,Contenido
K00772,U01329,C0414,2025-12-31 23:59:59,4,Sí,Calidad técnica
K00773,U00371,C0337,2025-02-10 09:49:41,3,No,Experiencia general
K00774,U00371,C0068,2025-08-21 20:51:42,5,Sí,Historia
K00775,U00371,C0205,2025-09-01 17:02:26,4,Sí,Actuación
K00776,U00371,C0021,2025-10-28 22:06:35,3,No,Contenido
K00777,U00371,C0320,2025-06-04 15:31:54,3,No,Actuación
K00778,U00631,C0106,2025-03-23 16:59:18,3,No,Contenido
K00779,U00631,C0032,2025-02-24 10:50:29,4,Sí,Historia
K00780,U00631,C0264,2025-06-05 18:23:59,3,No,Contenido
K00781,U00631,C0051,2025-02-09 19:46:58,3,No,Experiencia general
K00782,U00241,C0086,2025-11-16 20:01:52,4,Sí,Contenido
K00783,U00241,C0190,2025-11-24 11:05:44,4,Sí,Actuación
K00784,U00241,C0254,2025-12-31 23:59:59,4,Sí,Actuación
K00785,U00241,C0218,2025-12-29 21:24:54,4,Sí,Contenido
K00786,U01039,C0060,2025-05-02 22:35:27,4,Sí,Contenido
K00787,U01039,C0350,2025-05-10 07:41:13,5,Sí,Historia
K00788,U00748,C0066,2025-11-05 16:44:35,4,Sí,Contenido
K00789,U00926,C0234,2025-12-31 13:31:30,4,Sí,Actuación
K00790,U00926,C0054,2025-10-15 22:43:55,4,Sí,Contenido
K00791,U00926,C0346,2025-05-13 15:40:14,3,No,Calidad técnica
K00792,U00926,C0023,2025-07-19 15:21:28,3,No,Contenido
K00793,U00853,C0410,2025-11-25 18:26:12,4,Sí,Experiencia general
K00794,U00853,C0122,2025-10-24 14:58:12,3,No,Experiencia general
K00795,U00516,C0420,2025-04-05 09:44:38,4,Sí,Experiencia general
K00796,U00516,C0205,2025-09-12 12:07:10,4,Sí,Experiencia general
K00797,U01372,C0329,2025-02-28 15:56:25,5,Sí,Contenido
K00798,U01372,C0183,2025-02-11 11:34:13,4,Sí,Calidad técnica
K00799,U01372,C0201,2025-01-18 18:43:37,4,Sí,Experiencia general
K00800,U01372,C0249,2025-01-10 18:11:30,4,Sí,Historia
K00801,U00009,C0247,2025-09-02 20:23:01,4,Sí,Calidad técnica
K00802,U00009,C0065,2025-11-16 21:18:27,5,Sí,Historia
K00803,U00009,C0137,2025-12-16 16:31:32,4,Sí,Historia
K00804,U00009,C0132,2025-01-22 22:30:26,4,Sí,Historia
K00805,U00345,C0419,2025-12-31 23:59:59,4,Sí,Calidad técnica
K00806,U00231,C0192,2025-02-19 19:19:57,4,Sí,Historia
K00807,U00231,C0326,2025-09-16 21:48:17,4,Sí,Contenido
K00808,U00231,C0168,2025-09-27 18:10:48,4,Sí,Historia
K00809,U00231,C0315,2025-02-10 22:28:14,4,Sí,Historia
K00810,U00386,C0233,2025-11-25 13:35:43,5,Sí,Contenido
K00811,U00386,C0214,2025-09-09 09:28:19,4,Sí,Actuación
K00812,U00386,C0357,2025-10-19 21:26:55,5,Sí,Contenido
K00813,U00373,C0267,2025-12-29 07:01:22,4,Sí,Historia
K00814,U00105,C0368,2025-11-21 12:56:08,4,Sí,Contenido
K00815,U01327,C0140,2025-06-07 13:52:26,4,Sí,Contenido
K00816,U01327,C0028,2025-05-07 23:52:43,4,Sí,Contenido
K00817,U01117,C0262,2025-11-02 02:41:31,4,Sí,Calidad técnica
K00818,U00370,C0267,2025-10-23 23:54:33,4,Sí,Contenido
K00819,U00370,C0191,2025-06-22 13:36:53,4,Sí,Contenido
K00820,U00370,C0251,2025-06-21 23:38:00,4,Sí,Historia
K00821,U00673,C0288,2025-09-03 22:49:49,4,Sí,Calidad técnica
K00822,U01393,C0349,2025-08-30 22:51:39,4,Sí,Historia
K00823,U01393,C0403,2025-03-10 02:59:51,5,Sí,Actuación
K00824,U01393,C0020,2025-12-30 18:20:24,3,No,Contenido
K00825,U01352,C0056,2025-07-22 19:32:28,5,Sí,Experiencia general
K00826,U00621,C0320,2025-10-14 18:14:43,4,Sí,Contenido
K00827,U00621,C0364,2025-11-28 14:53:52,4,Sí,Historia
K00828,U00050,C0368,2025-01-27 00:58:01,5,Sí,Actuación
K00829,U00050,C0097,2025-05-23 20:21:06,4,Sí,Historia
K00830,U00204,C0035,2025-12-30 17:37:01,3,No,Actuación
K00831,U00920,C0265,2025-10-03 05:16:20,3,No,Actuación
K00832,U00920,C0408,2025-11-11 18:20:15,4,Sí,Experiencia general
K00833,U00920,C0413,2025-10-15 17:17:34,5,Sí,Experiencia general
K00834,U00920,C0147,2025-09-25 21:50:41,3,No,Calidad técnica
K00835,U00920,C0156,2025-11-01 19:28:10,3,No,Experiencia general
K00836,U00681,C0407,2025-09-17 17:07:29,4,Sí,Contenido
K00837,U00681,C0062,2025-04-24 21:02:56,3,No,Contenido
K00838,U00085,C0312,2025-11-18 22:42:51,5,Sí,Actuación
K00839,U00085,C0045,2025-08-18 19:07:56,4,Sí,Historia
K00840,U00085,C0359,2025-09-18 21:11:55,4,Sí,Experiencia general
K00841,U00085,C0291,2025-06-01 19:26:07,4,Sí,Historia
K00842,U00897,C0255,2025-11-18 22:29:07,4,Sí,Experiencia general
K00843,U00897,C0112,2025-07-02 19:10:40,4,Sí,Actuación
K00844,U00897,C0274,2025-09-08 00:16:56,4,Sí,Actuación
K00845,U00384,C0293,2025-02-25 23:52:39,4,Sí,Calidad técnica
K00846,U00384,C0347,2025-02-23 10:45:47,4,Sí,Actuación
K00847,U00384,C0284,2025-12-23 20:10:39,4,Sí,Historia
K00848,U00384,C0203,2025-03-23 20:02:38,3,No,Actuación
K00849,U00743,C0056,2025-06-24 19:16:05,4,Sí,Contenido
K00850,U00743,C0123,2025-05-07 16:48:07,4,Sí,Experiencia general
K00851,U00743,C0305,2025-11-18 21:40:43,5,Sí,Contenido
K00852,U01341,C0338,2025-02-09 07:45:48,3,No,Historia
K00853,U00392,C0387,2025-06-23 16:49:24,4,Sí,Historia
K00854,U01058,C0016,2025-03-23 14:18:39,4,Sí,Experiencia general
K00855,U01058,C0334,2025-01-28 21:28:31,4,Sí,Calidad técnica
K00856,U00019,C0409,2025-04-07 15:10:19,4,Sí,Contenido
K00857,U00019,C0230,2025-06-25 10:38:13,4,Sí,Contenido
K00858,U00019,C0130,2025-03-23 05:19:12,3,No,Experiencia general
K00859,U00019,C0393,2025-01-25 13:08:00,4,Sí,Historia
K00860,U00070,C0008,2025-10-30 14:11:37,4,Sí,Calidad técnica
K00861,U00350,C0311,2025-07-03 02:57:55,4,Sí,Actuación
K00862,U00350,C0199,2025-09-18 16:47:00,4,Sí,Experiencia general
K00863,U00350,C0351,2025-07-02 22:56:07,4,Sí,Calidad técnica
K00864,U00350,C0038,2025-12-10 08:39:29,5,Sí,Contenido
K00865,U00350,C0061,2025-10-12 22:32:56,4,Sí,Contenido
K00866,U00816,C0183,2025-09-09 17:52:35,4,Sí,Actuación
K00867,U00816,C0055,2025-06-29 19:13:32,3,No,Historia
K00868,U00571,C0352,2025-08-09 20:03:58,4,Sí,Historia
K00869,U00136,C0225,2025-11-08 18:51:15,4,Sí,Experiencia general
K00870,U00025,C0014,2025-03-04 19:53:36,4,Sí,Contenido
K00871,U00935,C0340,2025-07-15 07:45:30,4,Sí,Historia
K00872,U00935,C0209,2025-07-28 17:32:47,4,Sí,Experiencia general
K00873,U00935,C0357,2025-03-02 12:16:47,4,Sí,Experiencia general
K00874,U00935,C0283,2025-09-09 17:35:18,4,Sí,Calidad técnica
K00875,U00406,C0343,2025-06-30 00:42:11,4,Sí,Contenido
K00876,U00488,C0231,2025-06-14 14:57:47,4,Sí,Historia
K00877,U00488,C0102,2025-04-22 16:39:40,4,Sí,Historia
K00878,U00488,C0055,2025-06-11 22:57:04,4,Sí,Actuación
K00879,U00488,C0267,2025-11-05 21:11:34,5,Sí,Contenido
K00880,U01442,C0038,2025-04-18 09:08:51,4,Sí,Historia
K00881,U01019,C0297,2025-11-13 21:56:41,4,Sí,Experiencia general
K00882,U01019,C0129,2025-01-25 15:02:52,4,Sí,Actuación
K00883,U01019,C0302,2025-10-06 03:54:09,4,Sí,Contenido
K00884,U01500,C0323,2025-11-17 13:43:42,4,Sí,Actuación
K00885,U01500,C0027,2025-06-24 22:48:47,4,Sí,Actuación
K00886,U00056,C0304,2025-11-08 18:01:49,3,No,Contenido
K00887,U00056,C0251,2025-09-20 18:05:11,4,Sí,Experiencia general
K00888,U00056,C0305,2025-10-21 02:44:23,4,Sí,Contenido
K00889,U01348,C0355,2025-04-19 16:04:34,4,Sí,Historia
K00890,U01403,C0011,2025-09-26 17:20:58,4,Sí,Contenido
K00891,U01403,C0264,2025-04-24 07:25:50,3,No,Historia
K00892,U01403,C0244,2025-05-27 19:11:38,4,Sí,Historia
K00893,U01403,C0343,2025-06-01 17:17:05,5,Sí,Experiencia general
K00894,U00229,C0039,2025-03-12 21:33:00,3,No,Actuación
K00895,U00209,C0185,2025-12-10 15:49:00,5,Sí,Historia
K00896,U00209,C0231,2025-11-01 19:55:39,4,Sí,Historia
K00897,U00209,C0380,2025-07-16 20:09:30,5,Sí,Contenido
K00898,U01484,C0341,2025-10-20 17:55:14,3,No,Contenido
K00899,U01484,C0318,2025-11-09 22:16:36,4,Sí,Contenido
K00900,U01484,C0280,2025-08-28 04:53:26,4,Sí,Experiencia general
K00901,U01484,C0203,2025-11-06 09:45:44,4,Sí,Actuación
K00902,U00016,C0264,2025-06-25 15:50:43,5,Sí,Contenido
K00903,U00016,C0369,2025-08-28 20:27:09,3,No,Contenido
K00904,U00441,C0205,2025-12-03 07:46:35,4,Sí,Historia
K00905,U00441,C0334,2025-05-17 03:12:40,4,Sí,Contenido
K00906,U00441,C0389,2025-06-14 21:55:21,3,No,Calidad técnica
K00907,U00726,C0307,2025-02-07 11:05:24,4,Sí,Calidad técnica
K00908,U00684,C0250,2025-09-02 12:43:32,4,Sí,Historia
K00909,U00684,C0107,2025-09-24 19:01:59,5,Sí,Historia
K00910,U00684,C0368,2025-08-16 23:57:40,5,Sí,Historia
K00911,U01023,C0095,2025-12-10 21:44:10,4,Sí,Calidad técnica
K00912,U01023,C0243,2025-11-13 20:44:42,4,Sí,Contenido
K00913,U01023,C0377,2025-12-25 08:12:31,5,Sí,Historia
K00914,U00645,C0037,2025-05-20 18:11:06,3,No,Actuación
K00915,U00645,C0062,2025-02-22 07:04:54,4,Sí,Historia
K00916,U00645,C0002,2025-05-13 17:58:19,5,Sí,Actuación
K00917,U00233,C0392,2025-09-28 16:24:53,4,Sí,Contenido
K00918,U01080,C0301,2025-02-09 16:36:09,3,No,Actuación
K00919,U01080,C0250,2025-09-05 15:52:10,4,Sí,Calidad técnica
K00920,U01080,C0236,2025-06-15 21:59:58,5,Sí,Actuación
K00921,U01080,C0126,2025-05-26 22:38:50,4,Sí,Actuación
K00922,U01080,C0137,2025-05-01 07:36:17,4,Sí,Contenido
K00923,U00442,C0059,2025-04-11 16:19:34,4,Sí,Contenido
K00924,U00442,C0301,2025-03-25 21:33:19,4,Sí,Experiencia general
K00925,U00442,C0393,2025-08-02 20:59:30,4,Sí,Historia
K00926,U00442,C0253,2025-11-29 20:21:46,4,Sí,Actuación
K00927,U00442,C0135,2025-04-03 03:55:08,4,Sí,Contenido
K00928,U00473,C0323,2025-12-04 10:21:47,4,Sí,Actuación
K00929,U00473,C0115,2025-11-13 22:24:26,3,No,Experiencia general
K00930,U00473,C0216,2025-12-13 17:15:39,5,Sí,Experiencia general
K00931,U00473,C0256,2025-12-23 17:37:37,4,Sí,Historia
K00932,U00413,C0024,2025-10-24 16:17:29,3,No,Contenido
K00933,U00413,C0165,2025-07-16 00:58:24,5,Sí,Actuación
K00934,U00413,C0330,2025-11-09 22:29:20,4,Sí,Contenido
K00935,U00413,C0075,2025-09-18 22:12:57,4,Sí,Experiencia general
K00936,U00249,C0074,2025-10-28 22:04:34,4,Sí,Historia
K00937,U00249,C0386,2025-11-11 21:18:02,4,Sí,Actuación
K00938,U00249,C0370,2025-12-31 23:19:10,4,Sí,Experiencia general
K00939,U00314,C0154,2025-02-25 23:18:20,4,Sí,Historia
K00940,U00314,C0394,2025-07-14 18:12:17,4,Sí,Experiencia general
K00941,U00186,C0060,2025-11-09 15:04:23,4,Sí,Historia
K00942,U00186,C0354,2025-06-28 18:52:01,5,Sí,Experiencia general
K00943,U01350,C0056,2025-08-07 17:06:53,5,Sí,Experiencia general
K00944,U01350,C0011,2025-09-08 19:47:19,4,Sí,Experiencia general
K00945,U00108,C0120,2025-04-10 15:28:12,4,Sí,Actuación
K00946,U00108,C0243,2025-02-24 12:48:41,4,Sí,Actuación
K00947,U00108,C0082,2025-04-18 17:41:45,4,Sí,Contenido
K00948,U01485,C0043,2025-09-13 18:33:34,5,Sí,Historia
K00949,U00609,C0352,2025-08-18 14:54:02,4,Sí,Actuación
K00950,U00609,C0002,2025-10-17 18:14:11,4,Sí,Experiencia general
K00951,U00309,C0142,2025-07-14 22:29:41,4,Sí,Experiencia general
K00952,U00309,C0328,2025-04-19 22:35:13,5,Sí,Contenido
K00953,U00309,C0303,2025-04-05 21:26:49,4,Sí,Historia
K00954,U00309,C0101,2025-07-17 19:06:51,4,Sí,Historia
K00955,U00868,C0387,2025-07-05 19:48:50,4,Sí,Experiencia general
K00956,U00868,C0015,2025-07-11 20:29:11,3,No,Contenido
K00957,U00226,C0202,2025-07-20 23:59:40,4,Sí,Experiencia general
K00958,U00226,C0250,2025-06-09 18:52:40,4,Sí,Experiencia general
K00959,U00226,C0096,2025-10-10 21:18:32,4,Sí,Historia
K00960,U00443,C0296,2025-11-10 12:56:10,4,Sí,Historia
K00961,U00443,C0261,2025-10-01 22:38:13,4,Sí,Contenido
K00962,U00614,C0232,2025-05-11 15:08:00,5,Sí,Contenido
K00963,U00211,C0148,2025-10-19 18:11:00,4,Sí,Actuación
K00964,U00211,C0369,2025-12-09 18:14:16,3,No,Contenido
K00965,U00211,C0315,2025-12-12 14:14:06,4,Sí,Historia
K00966,U00211,C0005,2025-11-21 00:48:34,4,Sí,Experiencia general
K00967,U00211,C0024,2025-10-17 07:15:07,4,Sí,Experiencia general
K00968,U01269,C0093,2025-11-21 22:32:48,4,Sí,Contenido
K00969,U01269,C0311,2025-12-30 06:14:41,4,Sí,Experiencia general
K00970,U01252,C0253,2025-03-24 17:08:52,5,Sí,Calidad técnica
K00971,U01252,C0117,2025-03-07 12:34:41,4,Sí,Historia
K00972,U01252,C0130,2025-02-12 19:00:52,4,Sí,Contenido
K00973,U01252,C0211,2025-03-19 07:30:18,4,Sí,Contenido
K00974,U01252,C0355,2025-03-30 18:30:02,3,No,Experiencia general
K00975,U01429,C0019,2025-05-05 20:24:48,4,Sí,Contenido
K00976,U01429,C0215,2025-06-04 16:10:19,4,Sí,Contenido
K00977,U01429,C0111,2025-03-11 20:09:16,4,Sí,Experiencia general
K00978,U00498,C0212,2025-12-06 22:36:19,4,Sí,Actuación
K00979,U00498,C0226,2025-10-17 21:11:45,4,Sí,Historia
K00980,U00901,C0194,2025-11-12 13:50:20,5,Sí,Historia
K00981,U00301,C0047,2025-06-14 18:26:59,4,Sí,Actuación
K00982,U00301,C0120,2025-08-11 21:42:53,3,No,Experiencia general
K00983,U00301,C0398,2025-12-05 16:31:23,4,Sí,Contenido
K00984,U00301,C0176,2025-10-31 16:58:45,4,Sí,Contenido
K00985,U00301,C0102,2025-05-04 10:43:11,4,Sí,Contenido
K00986,U01289,C0110,2025-10-19 19:45:50,3,No,Experiencia general
K00987,U01289,C0396,2025-10-03 20:11:11,4,Sí,Calidad técnica
K00988,U01195,C0046,2025-06-18 20:12:05,4,Sí,Historia
K00989,U00088,C0388,2025-06-09 16:21:42,3,No,Contenido
K00990,U00088,C0273,2025-10-19 08:19:15,4,Sí,Contenido
K00991,U00763,C0134,2025-09-15 13:54:44,4,Sí,Historia
K00992,U00763,C0045,2025-10-27 21:01:19,4,Sí,Historia
K00993,U00763,C0148,2025-07-06 19:13:35,3,No,Historia
K00994,U00517,C0183,2025-09-21 15:19:32,4,Sí,Contenido
K00995,U00517,C0328,2025-11-24 06:48:09,3,No,Experiencia general
K00996,U00517,C0308,2025-12-31 23:59:59,3,No,Experiencia general
K00997,U00517,C0416,2025-09-14 11:20:10,4,Sí,Contenido
K00998,U00517,C0076,2025-10-08 20:45:20,4,Sí,Historia
K00999,U00964,C0358,2025-05-04 15:00:06,4,Sí,Actuación
K01000,U00964,C0171,2025-09-27 20:04:01,4,Sí,Historia
K01001,U00012,C0402,2025-12-06 15:06:15,4,Sí,Experiencia general
K01002,U00704,C0188,2025-12-12 11:09:45,4,Sí,Historia
K01003,U01097,C0065,2025-09-24 19:06:37,4,Sí,Historia
K01004,U01097,C0015,2025-08-06 17:42:55,4,Sí,Experiencia general
K01005,U00288,C0092,2025-12-23 13:04:27,4,Sí,Calidad técnica
K01006,U00288,C0344,2025-12-12 20:09:51,4,Sí,Contenido
K01007,U00838,C0290,2025-06-21 22:50:51,4,Sí,Actuación
K01008,U00838,C0274,2025-04-15 14:06:12,4,Sí,Actuación
K01009,U01486,C0142,2025-08-17 17:05:25,2,No,Contenido
K01010,U01486,C0315,2025-08-02 09:27:20,5,Sí,Contenido
K01011,U01486,C0054,2025-11-12 01:28:00,4,Sí,Historia
K01012,U01486,C0410,2025-02-23 20:06:13,4,Sí,Historia
K01013,U01467,C0259,2025-02-12 02:08:34,4,Sí,Experiencia general
K01014,U01091,C0198,2025-10-10 19:40:05,4,Sí,Experiencia general
K01015,U01091,C0352,2025-08-05 20:59:31,3,No,Calidad técnica
K01016,U00107,C0335,2025-11-21 19:28:26,4,Sí,Contenido
K01017,U00107,C0183,2025-11-15 04:48:32,4,Sí,Experiencia general
K01018,U00811,C0053,2025-12-22 12:14:41,5,Sí,Historia
K01019,U00811,C0194,2025-11-13 17:05:52,5,Sí,Contenido
K01020,U00811,C0220,2025-11-17 16:37:07,5,Sí,Historia
K01021,U00811,C0098,2025-12-13 22:27:50,4,Sí,Calidad técnica
K01022,U01238,C0036,2025-10-05 18:41:53,4,Sí,Historia
K01023,U01238,C0338,2025-05-25 07:32:55,4,Sí,Historia
K01024,U01238,C0249,2025-01-08 17:02:17,4,Sí,Contenido
K01025,U01238,C0064,2025-02-15 20:47:59,4,Sí,Contenido
K01026,U01238,C0248,2025-07-29 12:06:54,4,Sí,Experiencia general
K01027,U00777,C0155,2025-12-02 11:26:56,4,Sí,Historia
K01028,U00531,C0099,2025-12-30 13:21:59,4,Sí,Experiencia general
K01029,U00531,C0417,2025-03-14 04:25:18,4,Sí,Actuación
K01030,U01362,C0090,2025-09-12 22:01:06,3,No,Contenido
K01031,U00270,C0381,2025-11-15 20:16:50,3,No,Experiencia general
K01032,U00270,C0299,2025-12-23 13:20:41,4,Sí,Historia
K01033,U00270,C0416,2025-09-17 19:51:52,3,No,Experiencia general
K01034,U01282,C0252,2025-08-05 21:29:27,4,Sí,Experiencia general
K01035,U01282,C0336,2025-12-14 16:26:41,4,Sí,Actuación
K01036,U01282,C0207,2025-10-29 21:43:30,3,No,Historia
K01037,U00666,C0307,2025-05-10 21:41:51,3,No,Calidad técnica
K01038,U00666,C0193,2025-05-08 19:21:07,3,No,Historia
K01039,U00799,C0329,2025-01-14 17:14:27,4,Sí,Historia
K01040,U00799,C0004,2025-11-03 22:07:38,5,Sí,Actuación
K01041,U01300,C0330,2025-03-01 06:47:15,3,No,Actuación
K01042,U01436,C0108,2025-04-04 20:32:21,4,Sí,Historia
K01043,U01436,C0014,2025-03-03 22:18:57,4,Sí,Experiencia general
K01044,U01436,C0388,2025-12-31 05:53:45,4,Sí,Historia
K01045,U00833,C0282,2025-04-13 23:46:21,4,Sí,Actuación
K01046,U00833,C0027,2025-04-22 08:29:44,4,Sí,Contenido
K01047,U00198,C0334,2025-11-20 19:12:17,4,Sí,Historia
K01048,U00198,C0079,2025-05-06 21:37:42,4,Sí,Experiencia general
K01049,U00198,C0395,2025-10-28 22:35:34,4,Sí,Historia
K01050,U00757,C0155,2025-12-06 07:41:08,3,No,Actuación
K01051,U00757,C0264,2025-11-28 20:15:27,4,Sí,Historia
K01052,U00757,C0286,2025-11-10 15:25:08,4,Sí,Contenido
K01053,U00757,C0341,2025-11-10 07:42:29,4,Sí,Historia
K01054,U00757,C0259,2025-11-12 15:28:57,5,Sí,Experiencia general
K01055,U00572,C0205,2025-09-26 08:40:55,4,Sí,Actuación
K01056,U00941,C0404,2025-07-30 17:19:18,4,Sí,Historia
K01057,U00860,C0030,2025-12-31 23:59:59,3,No,Experiencia general
K01058,U00860,C0166,2025-12-31 19:23:56,3,No,Calidad técnica
K01059,U00860,C0219,2025-12-30 11:46:58,5,Sí,Experiencia general
K01060,U00994,C0406,2025-06-12 21:08:08,4,Sí,Contenido
K01061,U00977,C0252,2025-01-17 23:25:40,4,Sí,Contenido
K01062,U00977,C0053,2025-02-16 14:36:22,5,Sí,Actuación
K01063,U00925,C0278,2025-03-30 11:54:53,4,Sí,Calidad técnica
K01064,U00925,C0394,2025-04-29 20:19:57,4,Sí,Experiencia general
K01065,U00566,C0108,2025-05-24 20:30:05,5,Sí,Contenido
K01066,U00934,C0228,2025-11-25 20:55:38,4,Sí,Experiencia general
K01067,U00934,C0144,2025-12-15 20:24:20,5,Sí,Contenido
K01068,U00934,C0304,2025-12-17 22:41:37,4,Sí,Contenido
K01069,U00934,C0247,2025-12-13 12:18:43,4,Sí,Contenido
K01070,U01293,C0237,2025-11-25 20:08:49,4,Sí,Contenido
K01071,U01293,C0023,2025-08-16 16:47:58,3,No,Experiencia general
K01072,U01293,C0338,2025-05-16 14:59:52,4,Sí,Historia
K01073,U01293,C0418,2025-08-06 18:00:11,3,No,Experiencia general
K01074,U00109,C0374,2025-09-18 20:17:33,5,Sí,Actuación
K01075,U01319,C0172,2025-09-05 17:12:59,3,No,Contenido
K01076,U01319,C0303,2025-10-12 22:02:24,4,Sí,Actuación
K01077,U01319,C0226,2025-11-08 15:51:13,5,Sí,Contenido
K01078,U00655,C0362,2025-03-05 17:59:17,5,Sí,Calidad técnica
K01079,U00655,C0241,2025-07-12 10:32:23,4,Sí,Contenido
K01080,U00655,C0168,2025-05-22 01:02:52,4,Sí,Contenido
K01081,U01422,C0136,2025-01-01 15:22:57,3,No,Experiencia general
K01082,U00611,C0225,2025-09-11 09:01:23,4,Sí,Actuación
K01083,U00611,C0048,2025-09-10 19:10:22,4,Sí,Contenido
K01084,U00611,C0094,2025-05-29 21:24:06,4,Sí,Contenido
K01085,U00499,C0147,2025-12-25 08:10:06,5,Sí,Historia
K01086,U00499,C0069,2025-05-18 09:50:08,4,Sí,Historia
K01087,U00499,C0145,2025-05-23 16:15:29,4,Sí,Experiencia general
K01088,U00671,C0195,2025-08-08 11:13:03,3,No,Experiencia general
K01089,U00671,C0124,2025-07-12 16:33:37,4,Sí,Historia
K01090,U00671,C0099,2025-12-01 20:10:13,4,Sí,Historia
K01091,U00671,C0022,2025-07-26 08:08:09,5,Sí,Historia
K01092,U00306,C0241,2025-07-19 19:13:41,3,No,Actuación
K01093,U00306,C0100,2025-08-05 17:52:36,3,No,Experiencia general
K01094,U00306,C0323,2025-03-06 16:24:59,4,Sí,Historia
K01095,U00306,C0194,2025-06-11 16:36:23,4,Sí,Actuación
K01096,U00957,C0306,2025-05-31 21:32:47,5,Sí,Experiencia general
K01097,U00957,C0237,2025-09-25 06:34:50,4,Sí,Historia
K01098,U00957,C0214,2025-08-25 18:49:54,4,Sí,Historia
K01099,U00797,C0296,2025-01-21 13:50:18,5,Sí,Experiencia general
K01100,U01158,C0152,2025-06-21 11:15:34,4,Sí,Calidad técnica
K01101,U01158,C0217,2025-07-05 20:58:31,4,Sí,Historia
K01102,U01158,C0397,2025-03-28 20:56:41,4,Sí,Actuación
K01103,U00125,C0009,2025-08-05 12:48:12,5,Sí,Contenido
K01104,U01424,C0288,2025-08-29 21:41:24,4,Sí,Contenido
K01105,U01424,C0247,2025-08-08 11:51:53,4,Sí,Experiencia general
K01106,U00953,C0065,2025-11-27 08:10:34,4,Sí,Actuación
K01107,U00953,C0281,2025-11-15 10:09:53,3,No,Historia
K01108,U00635,C0157,2025-10-30 20:56:00,4,Sí,Historia
K01109,U01298,C0392,2025-01-19 10:27:27,4,Sí,Historia
K01110,U00896,C0395,2025-02-01 10:03:59,3,No,Contenido
K01111,U00896,C0215,2025-02-19 20:56:33,4,Sí,Contenido
K01112,U00896,C0227,2025-02-16 20:46:02,4,Sí,Contenido
K01113,U00896,C0164,2025-02-02 14:14:46,4,Sí,Historia
K01114,U00896,C0097,2025-03-05 23:54:22,3,No,Actuación
K01115,U00375,C0287,2025-01-03 21:42:25,4,Sí,Contenido
K01116,U00375,C0131,2025-02-02 20:20:39,4,Sí,Contenido
K01117,U00375,C0314,2025-02-06 18:50:47,4,Sí,Historia
K01118,U00375,C0386,2025-01-29 23:24:58,4,Sí,Contenido
K01119,U00375,C0304,2025-01-27 21:52:06,3,No,Actuación
K01120,U00593,C0144,2025-07-05 23:45:59,4,Sí,Calidad técnica
K01121,U00593,C0385,2025-06-20 07:11:56,4,Sí,Historia
K01122,U00456,C0169,2025-11-19 21:13:58,4,Sí,Contenido
K01123,U00521,C0299,2025-10-05 20:41:09,3,No,Experiencia general
K01124,U01118,C0362,2025-10-10 14:47:13,4,Sí,Experiencia general
K01125,U00676,C0112,2025-02-17 15:24:48,4,Sí,Historia
K01126,U00676,C0020,2025-01-26 15:13:47,4,Sí,Historia
K01127,U00020,C0091,2025-08-21 14:47:18,3,No,Actuación
K01128,U00020,C0164,2025-11-28 20:08:12,5,Sí,Contenido
K01129,U00020,C0191,2025-09-23 21:35:00,4,Sí,Historia
K01130,U00487,C0296,2025-05-05 22:07:39,4,Sí,Calidad técnica
K01131,U00487,C0033,2025-02-08 11:32:42,5,Sí,Actuación
K01132,U00487,C0057,2025-05-13 23:38:37,5,Sí,Calidad técnica
K01133,U00214,C0211,2025-07-17 16:09:40,4,Sí,Historia
K01134,U00256,C0384,2025-10-01 19:19:06,3,No,Calidad técnica
K01135,U00256,C0347,2025-10-17 13:16:17,4,Sí,Actuación
K01136,U01405,C0312,2025-03-30 22:00:55,3,No,Contenido
K01137,U01405,C0180,2025-10-25 13:39:19,4,Sí,Contenido
K01138,U01405,C0091,2025-04-08 19:07:03,3,No,Calidad técnica
K01139,U01478,C0282,2025-12-14 20:20:04,3,No,Contenido
K01140,U01478,C0160,2025-12-31 12:17:15,3,No,Historia
K01141,U01318,C0228,2025-11-19 21:04:23,3,No,Experiencia general
K01142,U01318,C0244,2025-11-23 21:27:24,4,Sí,Actuación
